item_name,text,Type,Answers,Values,Score: Factor1,Score:Factor2,Optional,
Instructions1,"You will find a series of statements that describe how people may react to the uncertainties of life.  Please use the scale to describe to what extent each item is characteristic of you. ",Instruct,,,,,,
IUS1,Uncertainty stops me from having a firm opinion,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS2,Being uncertain means that a person is disorganized,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS3,Uncertainty makes life intolerable,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS4,It's not fair that there are no guarantees in life,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,,1,No,
IUS5,My mind can't be relaxed if I don’t know what will happen tomorrow,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,,1,No,
IUS6,"Uncertainty makes me uneasy, anxious, or stressed",likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,,1,No,
IUS7,Unforseen events upset me greatly,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,,1,No,
IUS8,It frustrates me not having all the information I need,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,,1,No,
IUS9,Being uncertain allows me to forsee the consequences beforehand and to prepare for them,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS10,One should always look ahead so as to avoid surprises,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,,1,No,
IUS11,"A small unforseen event can spoil everything, even with the best of planning",likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,,1,No,
IUS12,When it's time to act uncertainty paralyzes me,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS13,Being uncertain means that I am not first rate,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS14,When I am uncertain I can't go forward,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS15,When I am uncertain I can't function very well,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS16,"Unlike me, others always seem to know where they are going with their lives",likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS17,"Uncertainty makes me vulnerable, unhappy, or sad",likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS18,I always want to know what the future has in store for me,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,,1,No,
IUS19,I hate being taken by surprise,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,,1,No,
IUS20,The smallest doubt stops mefrom acting,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS21,I should be able to organize everything in advance,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,,1,No,
IUS22,Being uncertain means that I lack confidence,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS23,I think it's unfair that other people seem sure about their future,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS24,Uncertainty stops me from sleeping well,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS25,I must get away from uncertain situations,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,1,,No,
IUS26,The ambiguities in life stress me,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,,1,No,
IUS27,I can't stand being undecided about my future,likert,Not at all characteristic of me||||Highly characteristic of me,1|2|3|4|5,,1,No,
,,,,,,,,